timestamp,FM,NOX,O2,temp
2022-03-01 16:50:00+00:00,1972.85,40.37,6.03,95.4
2022-03-01 16:55:00+00:00,1928.01,39.65,5.96,95.37
2022-03-01 17:00:00+00:00,1911.35,39.62,6.02,95.04
2022-03-01 17:05:00+00:00,1866.25,39.59,6.09,94.71
2022-03-01 17:10:00+00:00,1909.64,39.3,6,94.71
2022-03-01 17:15:00+00:00,1939.47,39.44,5.88,94.93
2022-03-01 17:20:00+00:00,1897.39,39.29,5.95,94.79
2022-03-01 17:25:00+00:00,1906.21,39.01,5.92,94.7
2022-03-01 17:30:00+00:00,1937.72,38.96,5.88,94.81
2022-03-01 17:35:00+00:00,1911.74,39.03,5.88,94.71
2022-03-01 17:40:00+00:00,1904.36,39.08,5.95,94.7
2022-03-01 17:45:00+00:00,1928.02,39.84,6.05,94.9
2022-03-01 17:50:00+00:00,1912.49,39.66,6.05,94.9
2022-03-01 17:55:00+00:00,1937.14,39.95,6.05,95.06
2022-03-01 18:00:00+00:00,1879.34,40.1,6.06,94.97
2022-03-01 18:05:00+00:00,1952.32,39.84,6.07,95.03
2022-03-01 18:10:00+00:00,1962.43,40.07,5.97,95.29
2022-03-01 18:15:00+00:00,1935.49,39.83,5.99,95.22
2022-03-01 18:20:00+00:00,1939.16,39.78,5.99,95.09
2022-03-01 18:25:00+00:00,1945.49,39.65,5.98,95.1
2022-03-01 18:30:00+00:00,1947.58,39.43,5.97,95.03
2022-03-01 18:35:00+00:00,1937.44,39.56,5.97,95.1
2022-03-01 18:40:00+00:00,1947.95,39.39,6,94.94
2022-03-01 18:45:00+00:00,1945.2,39.83,5.99,95.05
2022-03-01 18:50:00+00:00,1934.4,39.72,6.02,95.05
2022-03-01 18:55:00+00:00,1942.96,39.69,5.99,94.91
2022-03-01 19:00:00+00:00,1970.84,39.55,5.94,95.1
2022-03-01 19:05:00+00:00,1929.09,39.82,5.99,94.94
2022-03-01 19:10:00+00:00,1984.95,39.75,5.92,95.11
2022-03-01 19:15:00+00:00,1961.17,39.53,5.87,95.18
2022-03-01 19:20:00+00:00,1938.59,39.59,5.95,94.92
2022-03-01 19:25:00+00:00,1952.59,39.28,5.92,94.9
2022-03-01 19:30:00+00:00,1974.77,39.34,5.87,94.95
2022-03-01 19:35:00+00:00,1933.6,39.58,5.97,94.9
2022-03-01 19:40:00+00:00,1950.63,39.5,5.97,94.9
2022-03-01 19:45:00+00:00,1945.34,39.18,5.88,94.9
2022-03-01 19:50:00+00:00,1969.4,39.24,5.91,94.92
2022-03-01 19:55:00+00:00,2024.65,40.38,5.97,95.26
2022-03-01 20:00:00+00:00,2011.02,40.06,5.9,95.4
2022-03-01 20:05:00+00:00,2042.58,39.85,5.92,95.24
2022-03-01 20:10:00+00:00,2030.56,39.99,5.87,95.34
2022-03-01 20:15:00+00:00,2045.71,39.59,5.88,95.28
2022-03-01 20:20:00+00:00,2043.05,39.75,5.86,95.19
2022-03-01 20:25:00+00:00,1961.35,40.12,6.03,94.99
2022-03-01 20:30:00+00:00,2002.48,39.86,6.09,94.7
2022-03-01 20:35:00+00:00,2011.53,39.9,5.98,94.91
2022-03-01 20:40:00+00:00,1984.24,39.61,5.97,94.78
2022-03-01 20:45:00+00:00,2035.3,39.59,5.89,94.8
2022-03-01 20:50:00+00:00,2090.16,40.21,5.85,95.16
2022-03-01 20:55:00+00:00,2074.45,40.2,5.82,95.06
2022-03-01 21:00:00+00:00,2166.66,40.77,5.89,95.14
2022-03-01 21:05:00+00:00,2201.4,41.13,5.69,95.63
2022-03-01 21:10:00+00:00,2150.03,40.94,5.76,95.27
2022-03-01 21:15:00+00:00,2299.81,41.02,5.76,95.33
2022-03-01 21:20:00+00:00,2326.98,41.28,5.57,95.85
2022-03-01 21:25:00+00:00,2115.43,41.72,5.92,95.01
2022-03-01 21:30:00+00:00,2206.97,40.68,5.73,94.7
2022-03-01 21:35:00+00:00,2205.85,40.84,5.62,94.82
2022-03-01 21:40:00+00:00,2190.27,40.66,5.69,94.67
2022-03-01 21:45:00+00:00,2195.07,40.38,5.63,94.6
2022-03-01 21:50:00+00:00,2188.78,40.36,5.63,94.6
2022-03-01 21:55:00+00:00,2206.03,40.5,5.62,94.49
2022-03-01 22:00:00+00:00,2187.14,40.84,5.75,94.4
2022-03-01 22:05:00+00:00,2244.29,41.34,5.69,94.59
2022-03-01 22:10:00+00:00,2214.05,40.7,5.67,94.51
2022-03-01 22:15:00+00:00,2256.13,40.72,5.63,94.54
2022-03-01 22:20:00+00:00,2192.87,40.89,5.68,94.42
2022-03-01 22:25:00+00:00,2207.95,40.72,5.68,94.2
2022-03-01 22:30:00+00:00,2227.51,40.55,5.62,94.2
2022-03-01 22:35:00+00:00,2192.44,40.79,5.72,94.07
2022-03-01 22:40:00+00:00,2224.76,40.92,5.68,94.15
2022-03-01 22:45:00+00:00,2163.84,40.87,5.68,94.02
2022-03-01 22:50:00+00:00,2129.92,40.88,5.72,93.63
2022-03-01 22:55:00+00:00,2174.87,40.33,5.64,93.62
2022-03-01 23:00:00+00:00,2165.71,40.91,5.69,93.6
2022-03-01 23:05:00+00:00,2165.61,40.99,5.7,93.65
2022-03-01 23:10:00+00:00,2175.5,40.72,5.64,93.66
2022-03-01 23:15:00+00:00,2238.51,41.14,5.65,93.88
2022-03-01 23:20:00+00:00,2241.83,41.17,5.58,94
2022-03-01 23:25:00+00:00,2255.53,41.29,5.57,93.96
2022-03-01 23:30:00+00:00,2253.73,41.19,5.52,93.64
2022-03-01 23:35:00+00:00,2290.76,41.05,5.47,93.51
2022-03-01 23:40:00+00:00,2234.04,41.14,5.49,93.14
2022-03-01 23:45:00+00:00,2214.7,41.06,5.54,92.83
2022-03-01 23:50:00+00:00,2206.21,41.09,5.48,92.54
2022-03-01 23:55:00+00:00,2131.18,41.33,5.64,92.02
2022-03-02 00:00:00+00:00,2187.21,41.18,5.62,91.7
2022-03-02 00:05:00+00:00,2217.38,41.55,5.56,91.7
2022-03-02 00:10:00+00:00,2194.39,41.51,5.56,91.31
2022-03-02 00:15:00+00:00,2192.21,41.11,5.53,90.91
2022-03-02 00:20:00+00:00,2302.07,42.13,5.49,91.11
2022-03-02 00:25:00+00:00,2119.13,42.35,5.63,90.5
2022-03-02 00:30:00+00:00,2130.5,42.01,5.83,89.64
2022-03-02 00:35:00+00:00,2144.84,42.44,5.67,89.76
2022-03-02 00:40:00+00:00,2010.46,42.43,5.92,89.28
2022-03-02 00:45:00+00:00,2138.53,42.37,5.86,89.19
2022-03-02 00:50:00+00:00,2107.93,42.43,5.69,89.21
2022-03-02 00:55:00+00:00,1983.66,42.29,5.96,88.43
2022-03-02 01:00:00+00:00,2129.4,41.99,5.8,88.35
2022-03-02 01:05:00+00:00,2061.77,41.87,5.68,88.41
2022-03-02 01:10:00+00:00,2046.42,41.72,5.83,88.33
2022-03-02 01:15:00+00:00,2099.93,41.8,5.72,88.81
2022-03-02 01:20:00+00:00,2037.33,41.72,5.77,89.27
2022-03-02 01:25:00+00:00,2057.93,41.57,5.78,89.92
2022-03-02 01:30:00+00:00,2016.32,41.52,5.74,90.68
2022-03-02 01:35:00+00:00,1986,41.54,5.93,91.01
2022-03-02 01:40:00+00:00,1998.12,41.31,5.81,91.74
2022-03-02 01:45:00+00:00,1943.8,41.46,5.98,92.04
2022-03-02 01:50:00+00:00,1977.67,41.25,5.96,92.52
2022-03-02 01:55:00+00:00,1942.97,41.44,5.94,92.93
2022-03-02 02:00:00+00:00,1876.61,41.1,6.09,92.9
2022-03-02 02:05:00+00:00,1904.47,40.89,6.03,93.12
2022-03-02 02:10:00+00:00,1870.6,40.73,6.05,93.39
2022-03-02 02:15:00+00:00,2010.1,41.67,6.12,93.97
2022-03-02 02:20:00+00:00,2042.8,42.94,5.92,95.03
2022-03-02 02:25:00+00:00,1924.2,42.59,6.13,94.88
2022-03-02 02:30:00+00:00,2031.88,41.91,6,94.99
2022-03-02 02:35:00+00:00,1983.93,42.08,5.92,95.27
2022-03-02 02:40:00+00:00,1964.79,42.12,6.16,94.95
2022-03-02 02:45:00+00:00,2132.3,44,6,95.77
2022-03-02 02:50:00+00:00,1974.99,43.08,5.99,95.63
2022-03-02 02:55:00+00:00,1978.8,42.09,6.08,94.81
2022-03-02 03:00:00+00:00,2034.15,42.21,5.87,95.04
2022-03-02 03:05:00+00:00,1997.76,41.81,5.88,94.83
2022-03-02 03:10:00+00:00,2005.46,41.26,5.84,94.62
2022-03-02 03:15:00+00:00,1965.15,41.32,5.83,94.6
2022-03-02 03:20:00+00:00,2004.48,41.37,5.82,94.67
2022-03-02 03:25:00+00:00,2005.13,41.56,5.8,94.86
2022-03-02 03:30:00+00:00,1937.86,42.01,5.93,94.7
2022-03-02 03:35:00+00:00,1960.57,41.72,5.88,94.84
2022-03-02 03:40:00+00:00,1945.57,41.73,5.92,94.9
2022-03-02 03:45:00+00:00,1952.08,41.85,5.93,94.98
2022-03-02 03:50:00+00:00,1901.47,42.02,6.01,95.1
2022-03-02 03:55:00+00:00,1928.92,41.6,5.95,95.26
2022-03-02 04:00:00+00:00,1947.62,41.82,5.91,95.66
2022-03-02 04:05:00+00:00,1954.68,41.91,5.93,95.86
2022-03-02 04:10:00+00:00,1869.43,42.18,6.07,95.81
2022-03-02 04:15:00+00:00,1814.45,42.1,6.25,95.47
